Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,204644849,2625.489632159078,4418491,56.68699880292706,659772,4323139,55.46368099830632,66858,0.8577542346394057,9971,
United States of America,Americas,35957692,10863.26,820038,247.74,133326,613647,185.39,3962,1.2,674
India,South-East Asia,32077706,2324.46,265592,19.25,41195,429669,31.14,3379,0.24,490
Brazil,Americas,20212642,9509.17,226825,106.71,34885,564773,265.7,6341,2.98,1211
Russian Federation,Europe,6534791,4477.89,154887,106.13,21932,168049,115.15,5540,3.8,808
France,Europe,6216600,9558.21,149171,229.35,30757,111278,171.09,317,0.49,52
The United Kingdom,Europe,6146804,9054.6,194044,285.84,29260,130607,192.39,607,0.89,104
Turkey,Europe,5996224,7109.66,173737,206,27356,52565,62.33,798,0.95,128
Argentina,Americas,5041487,11154.78,79607,176.14,12412,108165,239.33,1718,3.8,204
Colombia,Americas,4846955,9525.71,38976,76.6,3948,122768,241.28,1284,2.52,167
Spain,Europe,4660473,9846.22,96890,204.7,8719,82320,173.92,310,0.65,17
Italy,Europe,4413162,7399.48,43198,72.43,6921,128304,215.13,168,0.28,31
Iran (Islamic Republic of),Eastern Mediterranean,4281217,5097.11,262133,312.09,42541,95647,113.88,3453,4.11,536
Germany,Europe,3805063,4575.22,24078,28.95,5638,91834,110.42,104,0.13,17
Indonesia,South-East Asia,3774155,1379.83,205824,75.25,24709,113664,41.56,11289,4.13,1466
Mexico,Americas,2997885,2325.15,117476,91.11,19555,245476,190.39,3540,2.75,786
Poland,Europe,2884780,7599.9,1156,3.05,223,75291,198.35,16,0.04,2
South Africa,Africa,2554240,4306.69,70231,118.42,7478,75774,127.76,2359,3.98,573
Ukraine,Europe,2262601,5173.58,6204,14.19,1247,53173,121.58,124,0.28,24
Peru,Americas,2127034,6451.06,10382,31.49,1186,197102,597.79,504,1.53,73
Netherlands,Europe,1892104,10869.42,17365,99.76,2155,17887,102.75,48,0.28,9
Iraq,Eastern Mediterranean,1740933,4328.26,67849,168.68,8635,19402,48.24,464,1.15,66
Philippines,Western Pacific,1688040,1540.45,68351,62.37,12021,29374,26.81,1143,1.04,154
Czechia,Europe,1675675,15669.39,1256,11.74,225,30372,284.01,6,0.06,1
Chile,Americas,1625456,8503.03,6273,32.82,633,36157,189.14,486,2.54,19
Canada,Americas,1443433,3824.46,9658,25.59,1346,26683,70.7,76,0.2,5
Bangladesh,South-East Asia,1396868,848.18,74214,45.06,10126,23613,14.34,1711,1.04,215
Malaysia,Western Pacific,1320547,4080.04,137437,424.63,20780,11373,35.14,1518,4.69,211
Belgium,Europe,1145736,9943.52,9902,85.94,0,25282,219.42,17,0.15,0
Sweden,Europe,1108057,10729.1,5187,50.22,1204,14658,141.93,1,0.01,0
Romania,Europe,1086109,5619.11,1883,9.74,371,34334,177.63,34,0.18,3
